diet_group,age_group,value
vegan,20-29,3
vegan,30-39,5
vegan,40-49,9
vegan,50-59,0
vegan,60-69,8
vegan,70-79,19
veggie,20-29,3
veggie,30-39,2
veggie,40-49,2
veggie,50-59,1
veggie,60-69,0
veggie,70-79,2
fish,20-29,26
fish,30-39,20
fish,40-49,19
fish,50-59,23
fish,60-69,22
fish,70-79,26
meat <50,20-29,33
meat <50,30-39,27
meat <50,40-49,17
meat <50,50-59,25
meat <50,60-69,32
meat <50,70-79,38
meat 50-100,20-29,10
meat 50-100,30-39,17
meat 50-100,40-49,13
meat 50-100,50-59,14
meat 50-100,60-69,19
meat 50-100,70-79,25
meat >100,20-29,14
meat >100,30-39,17
meat >100,40-49,15
meat >100,50-59,13
meat >100,60-69,15
meat >100,70-79,8
