diet_group,age_group,value
veggie,20-29,66
veggie,30-39,44
veggie,40-49,25
veggie,50-59,18
veggie,60-69,23
veggie,70-79,33
fish,20-29,71
fish,30-39,64
fish,40-49,52
fish,50-59,29
fish,60-69,45
fish,70-79,37
meat <50,20-29,221
meat <50,30-39,297
meat <50,40-49,432
meat <50,50-59,443
meat <50,60-69,413
meat <50,70-79,482
meat 50-100,20-29,81
meat 50-100,30-39,82
meat 50-100,40-49,92
meat 50-100,50-59,101
meat 50-100,60-69,113
meat 50-100,70-79,133
meat >100,20-29,429
meat >100,30-39,501
meat >100,40-49,630
meat >100,50-59,577
meat >100,60-69,560
meat >100,70-79,478
